                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     91,                  0.795,                0.76427,                0.88524,                0.99344,                0.66667,                0.78677,                0.32757,                 2.2964,                 1.1287,                  1.504,               0.001406,               0.001406,               0.001406
                     92,                 1.0074,                0.86384,                0.94929,                      1,                0.80262,                0.83534,                0.36723,                 2.1974,                   1.09,                 1.4156,              0.0013994,              0.0013994,              0.0013994
                     93,                0.84782,                0.76786,                0.87245,                      1,                0.80262,                0.83534,                0.36723,                 2.1974,                   1.09,                 1.4156,              0.0013928,              0.0013928,              0.0013928
                     94,                0.89554,                0.74119,                0.88531,                0.97881,                0.83333,                0.83534,                0.36743,                 2.1288,                 1.1096,                 1.4266,              0.0013862,              0.0013862,              0.0013862
                     95,                 0.8459,                0.71211,                 0.8988,                0.95669,                0.83333,                0.86409,                0.39086,                 2.1938,                 1.3079,                  1.493,              0.0013796,              0.0013796,              0.0013796
                     96,                0.84193,                0.70576,                0.92232,                0.96237,                0.83333,                  0.875,                0.30626,                 2.3319,                 1.3222,                 1.6105,               0.001373,               0.001373,               0.001373
                     97,                0.91423,                0.77668,                0.88078,                0.96237,                0.83333,                  0.875,                0.30626,                 2.3319,                 1.3222,                 1.6105,              0.0013664,              0.0013664,              0.0013664
                     98,                0.89116,                0.69731,                0.87497,                0.97635,                0.83333,                 0.8734,                0.30652,                 2.2824,                 1.1878,                 1.5673,              0.0013598,              0.0013598,              0.0013598
                     99,                 0.8689,                0.75085,                0.88728,                0.98325,                0.83333,                0.86929,                0.34818,                 2.1365,                 1.0574,                 1.5351,              0.0013532,              0.0013532,              0.0013532
                    100,                0.80599,                0.69015,                0.87298,                0.96853,                0.83333,                0.86167,                0.38008,                  1.977,                 1.2015,                 1.4573,              0.0013466,              0.0013466,              0.0013466
                    101,                0.86664,                0.68709,                  0.897,                0.96853,                0.83333,                0.86167,                0.38008,                  1.977,                 1.2015,                 1.4573,                0.00134,                0.00134,                0.00134
                    102,                0.84261,                0.76869,                0.88998,                0.82737,                0.83333,                0.84095,                0.35629,                 2.1098,                 1.3001,                 1.4961,              0.0013334,              0.0013334,              0.0013334
                    103,                0.77669,                0.66603,                0.82855,                0.93633,                0.66667,                0.83976,                0.31263,                 2.2021,                 1.2784,                 1.5129,              0.0013268,              0.0013268,              0.0013268
                    104,                0.86152,                0.72973,                0.91925,                0.95691,                0.66667,                0.85043,                0.36145,                 2.0523,                 1.1175,                 1.4162,              0.0013202,              0.0013202,              0.0013202
                    105,                0.84647,                0.70119,                0.88975,                0.95691,                0.66667,                0.85043,                0.36145,                 2.0523,                 1.1175,                 1.4162,              0.0013136,              0.0013136,              0.0013136
                    106,                0.85735,                0.73055,                0.90044,                      1,                0.79879,                  0.899,                0.38292,                 2.0832,                 1.0869,                 1.4306,               0.001307,               0.001307,               0.001307
                    107,                0.88158,                 0.6876,                0.90402,                0.97144,                0.83333,                  0.899,                0.38445,                 1.9954,                 1.0295,                 1.3473,              0.0013004,              0.0013004,              0.0013004
                    108,                0.89139,                0.71212,                0.87744,                0.96201,                0.83333,                0.87674,                0.39193,                 1.8819,                 1.0899,                 1.2877,              0.0012938,              0.0012938,              0.0012938
                    109,                0.88994,                0.66271,                0.88867,                0.96201,                0.83333,                0.87674,                0.39193,                 1.8819,                 1.0899,                 1.2877,              0.0012872,              0.0012872,              0.0012872
                    110,                0.90495,                0.70073,                0.90744,                0.94541,                0.83333,                0.85346,                0.39232,                 1.7805,                 1.1104,                 1.2532,              0.0012806,              0.0012806,              0.0012806
                    111,                0.86312,                0.70861,                0.88534,                0.94207,                0.83333,                0.83586,                0.41947,                 1.6926,                  1.147,                 1.2579,               0.001274,               0.001274,               0.001274
                    112,                0.84242,                0.67289,                0.85508,                0.81046,                0.83333,                0.80704,                0.43339,                 1.6229,                 1.1199,                  1.238,              0.0012674,              0.0012674,              0.0012674
                    113,                0.78141,                0.63766,                0.88443,                0.81046,                0.83333,                0.80704,                0.43339,                 1.6229,                 1.1199,                  1.238,              0.0012608,              0.0012608,              0.0012608
                    114,                0.75474,                0.64181,                0.85527,                0.83059,                0.81961,                0.77871,                0.42135,                 1.5915,                 1.0234,                 1.2407,              0.0012542,              0.0012542,              0.0012542
                    115,                0.83131,                0.67393,                0.90059,                0.81098,                0.83333,                0.77927,                0.42148,                 1.6277,                0.93826,                 1.2487,              0.0012476,              0.0012476,              0.0012476
                    116,                0.79139,                0.65775,                0.87194,                0.80436,                0.83333,                0.77922,                0.40289,                 1.6966,                0.99942,                 1.2416,               0.001241,               0.001241,               0.001241
                    117,                0.81317,                0.64274,                 0.8848,                0.80436,                0.83333,                0.77922,                0.40289,                 1.6966,                0.99942,                 1.2416,              0.0012344,              0.0012344,              0.0012344
                    118,                0.81915,                0.68176,                0.88731,                0.80697,                0.83333,                0.80703,                0.38883,                 1.8559,                 1.0956,                 1.2627,              0.0012278,              0.0012278,              0.0012278
                    119,                0.81151,                0.69153,                0.87125,                0.80779,                0.83333,                0.80703,                0.40888,                 1.8668,                 1.1593,                 1.2351,              0.0012212,              0.0012212,              0.0012212
                    120,                0.80436,                0.62127,                0.89099,                0.81836,                0.83333,                0.83536,                0.43374,                 1.8789,                 1.1174,                 1.2158,              0.0012146,              0.0012146,              0.0012146
                    121,                0.79518,                0.63152,                0.85444,                0.81836,                0.83333,                0.83536,                0.43374,                 1.8789,                 1.1174,                 1.2158,               0.001208,               0.001208,               0.001208
                    122,                0.79304,                0.67675,                0.87639,                 0.8198,                0.83333,                0.83261,                0.40397,                 1.9637,                  1.057,                 1.2412,              0.0012014,              0.0012014,              0.0012014
                    123,                0.78664,                0.61784,                0.87179,                 0.8225,                0.83333,                0.84507,                0.39712,                 2.0987,                  1.087,                 1.2872,              0.0011948,              0.0011948,              0.0011948
